"MaterialType","Materials_Details_EN","Notes"
"カキ、オキシジミガイ","black clam (Cyclina sinensis) oysters (Ostreidae) basket clam (Corbiculidae spp.)",""
"カキ、クボガイ","oysters (Ostreidae) tegula snails (Chlorostoma lischkei)",""
"カキ、コシダカガンガラ","oysters (Ostreidae)",""
"カキ、コシダカガンガラ、クボガイ","oysters (Ostreidae) tegula snails (Chlorostoma lischkei)",""
"カキ①","oysters (Ostreidae)",""
"カキ②","oysters (Ostreidae)",""
"カキ③","oysters (Ostreidae)",""
"カキO1","oysters (Ostreidae)",""
"カキO2","oysters (Ostreidae)",""
"カキ貝","oysters (Ostreidae)",""
"カゴ状炭化物","carbonized material",""
"カシ類","oaks (Quercus subgen. Cyclobalanopsis)",""
"カニ(腹節)",,"Needs translation"
"カニ(鉗節)",,"Needs translation"
"カニ(鉗脚)",,"Needs translation"
"カモ亜科 烏口骨","duck (Anatidae etc) coracoid",""
"カヤ?(壁材)",,"Needs translation"
"カヤツリグサ科(種実)","seed/nuts Japanese nutmeg tree​ (Torreya nucifera) Sedges/Cyperus",""
"カヤ状炭化物","carbonized material Japanese nutmeg tree​ (Torreya nucifera)",""
"カヤ状炭化物塊","carbonized material, Japanese nutmeg tree​ (Torreya nucifera)",""
"カワシンジュガイ","freshwater pearl oyster (Margaritifera laevis)",""
"カワシンジュガイ腹縁","freshwater pearl oyster (Margaritifera laevis)",""
"カワニナ","kawanina (Semisulcospira libertina)",""
"カワハギ科腰帯","filefish (Monacanthidae ?Stephanolepis cirrhifer) pelvic girdle",""
"ガン亜科 上腕 左","geese (Anserinae) left humerus",""
"キカラスウリ(種子)","seed snake gourd (Trichosanthes kirilowii​) melon/gourd (Cucurbitaceae)",""
"キカラスウリ種子","seed snake gourd (Trichosanthes kirilowii​) melon/gourd (Cucurbitaceae)",""
"キクザルガイ","cemented saltwater clam (Chama reflexa)",""
"キセル・羅宇","I am completely stumped on this!!!",""
"キハダ","amur cork (Phellodendron)",""
"クジラ目腰椎","whale (Cetacea spp.)​",""
"クジラ類","whale (Cetacea spp.)​",""
"クッキー状炭化物","cookie-like charcoal (is this carbonized food material?)",""
"クヌギ","saw-tooth oak (Quercus acutissima)",""
"クヌギ－アベマキ：果実完形","complete fruit, saw-tooth oak (Quercus acutissima) Asian cork oak (Quercus variabilis)",""
"クヌギ(堅果)","nut saw-tooth oak (Quercus acutissima)",""
"クヌギ節","wood, saw-tooth oak (Quercus acutissima)",""
"クヌギ節果実","fruit /achenes etc saw-tooth oak (Quercus acutissima)",""
"クマ 中手/中足","bear (Ursidae) phlanges metatarsal",""
"クマ 大腿骨 右 遠位","bear (Ursidae) right femur",""
"クマ犬歯","bear (Ursidae) canine tooth",""
"クリ","chestnut (Castanea crenata)",""
"クリ?","chestnut (Castanea crenata)",""
"クリ(種子)","seed chestnut (Castanea crenata)",""
"クリの実","nut/fruit chestnut (Castanea crenata)",""
"クリ子葉","cotyledon chestnut (Castanea crenata)",""
"クリ属果皮","pericarp, chestnut (Castanea crenata)",""
"クリ材","material chestnut (Castanea crenata)",""
"クリ果実","fruit /achenes etc chestnut (Castanea crenata)",""
"クリ果皮","pericarp chestnut (Castanea crenata)",""
"クリ炭化子葉","carbonized cotyledon chestnut (Castanea crenata)",""
"クリ皮","chestnut (Castanea crenata)",""
"クリ種実","seed/nuts chestnut (Castanea crenata)",""
"クリ種皮","seed coat chestnut (Castanea crenata)",""
"クリ近似種","or similar chestnut (Castanea crenata)",""
"クルミ","walnut (Juglans)",""
"クルミ（未炭化）","carbonized walnut (Juglans)",""
"クルミの殻","nut shell walnut (Juglans)",""
"クルミ属内果皮","endocarp pericarp walnut (Juglans)",""
"クルミ属堅果","nut walnut (Juglans)",""
"クルミ果皮","pericarp walnut (Juglans)",""
"クルミ核片","walnut (Juglans)",""
"クルミ殻","shell walnut (Juglans)",""
"クルミ種子","seed walnut (Juglans)",""
"クロマツ（球果1個体）","cones, Japanese black pine (Pinus thunbergii)",""
"ケヤキ","Japanese zelkova (Zelkowa serrata)",""
"ケヤキ材","material, Japanese zelkova (Zelkowa serrata)",""
"ケヤキ根","root Japanese zelkova (Zelkowa serrata)",""
"コナラ亜属果皮","pericarp, Jolcham oak (Quercus serrata)",""
"コナラ属","oak (Quercus sp.)",""
"コナラ属(堅果）","nut oak (Quercus sp.)",""
"コナラ属アカガシ亜属","wood, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"コナラ属アカガシ亜属果実","fruit /achenes etc oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"コナラ属アカガシ亜属炭化子葉（1破片）","carbonized fragments cotyledon, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"コナラ属果実","fruit /achenes etc oak (Quercus sp.)",""
"コナラ属樹皮","bark oak (Quercus sp.)",""
"コナラ属炭化子葉","carbonized cotyledon oak (Quercus sp.)",""
"コナラ殻斗","shell oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"コムギ","wheat (Triticum)",""
"コラーゲン(人骨)","human bone collogen",""
"サガリバナ生材",,"Needs translation"
"サガリバナ生根材",,"Needs translation"
"サキシマスオウ炭化材",,"Needs translation"
"サキシマスオウ生材",,"Needs translation"
"サクラ類","cherry (Cerasus sp.) cherry (Cerasus sp.)",""
"サザエ",,"Needs translation"
"サザエの蓋",,"Needs translation"
"サメ椎体","sharks (Selachimorpha) vertebra",""
"サルノコシカケ",,"Needs translation"
"サルノコシカケ（樹木）","tree, bracket fungi (Polyporaceae)",""
"サルボウ","ark clam (Anadara kagoshimensis)",""
"サンゴ",,"Needs translation"
"シカ 下顎骨 右","deer (Cervidae) right manidble",""
"シカ 右大腿骨","deer (Cervidae) right femur",""
"シカ(右前頭骨)","deer (Cervidae) right skull frontal cranium",""
"シカの歯","deer (Cervidae) tooth",""
"シカの角","deer (Cervidae) antler/horn",""
"シカ大腿骨","deer (Cervidae) femur",""
"シカ角","deer (Cervidae) antler/horn",""
"シカ距骨","deer (Cervidae)",""
"シカ頸椎骨","deer (Cervidae) cervical vertebra vertebra",""
"シルト","silt",""
"シルト混じり細砂","silt sand",""
"シルト質粘土","clay silt",""
"スギ","Japanese cedar (Cryptomeria japonica)",""
"スギ材","material, Japanese cedar (Cryptomeria japonica)",""
"スギ材（側面）","material, Japanese cedar (Cryptomeria japonica)",""
"スギ材(杭)",,"Needs translation"
"スギ材(横板)",,"Needs translation"
"スギ炭化材",,"Needs translation"
"スギ生材",,"Needs translation"
"スサ材","material straw cob?",""
"スズキ","Japanese sea bass (Lateolabrax japonicus)",""
"スス状炭化物","Soot like charcoal",""
"スダジイ","Itajii tree (Castanopis sieboldi)",""
"スダジイ材","material, Itajii tree (Castanopis sieboldi)",""
"スモモ(核)",,"Needs translation"
"セタシジミ貝","shell, Setashijimi shellfish (Corbicula sandai) ",""
"その他,","other",""
"その他,アシ,","common reed (Phragmites communis)",""
"その他,ウツギ,","bridal wreath (Deutzia crenata)",""
"その他,不明,","unknown",""
"その他,土壌,","soil",""
"その他,松葉,","Pine needles",""
"その他,植物繊維,","plant textile fiber / fiborous",""
"その他,植物遺体,","plant plant remains",""
"その他,炭化物,","carbonized material",""
"その他,砥石付着物,胴外","residue outside",""
"その他,竹皮,","bamboo bamboo bark",""
"その他,繊維,","textile fiber / fiborous",""
"その他,鉄,袋部","iron bag - could this be mineralized preserved organics on an object?",""
"その他,鉄,袋部刃先近く","iron near blade edge - again mineralized wood or organics maybe?",""
"ソバの茎","stem buckwheat (Fagopyrum esculentum)",""
"タケ","bamboo (Bambusoideae)",""
"タケ亜科稈","culm bamboo (Bambusoideae)",""
"タケ類","bamboo (Bambusoideae)",""
"タヌキ下顎骨","raccoon dog (Nyctereutes procyonoides) manidble",""
"タブノキ","wood, Japanese bay tree (Machilus thunbergii)",""
"ツバキ種子","seed common camellia (Camellia japonica)",""
"トウガタガイ科オオシイノミクチキレ(Milda ventricosa)",,"Needs translation"
"トウガタカワニナ科ヌノメカワニナ(Melanoides tuberculata Muller)",,"Needs translation"
"トウヒ毬果","pinecone ezo spruce (Picea jezoensis)",""
"トクサ","Horsetail (Equisetum sp.)",""
"トチ","Aesculus??",""
"トチノキ","horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノキ（種子）","seed, horse chestnut (Aesculus turbinata)",""
"トチノキ子葉","cotyledon horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノキ果実","fruit /achenes etc horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノキ果実片",,"Needs translation"
"トチノキ果皮","pericarp horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノキ炭化種子","carbonized seed horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノキ種子","seed horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノキ種皮","seed coat horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノキ種皮片","seed coat horse chestnut (Aesculus turbinata) Aesculus??",""
"トチノミ",,"Needs translation"
"トチノミ?",,"Needs translation"
"トチの実","nut/fruit Aesculus?? horse chestnut (Aesculus hippocastanum)",""
"トチの実の殻","nut shell nut/fruit Aesculus?? horse chestnut (Aesculus hippocastanum)",""
"トチの実の皮?","nut/fruit Aesculus?? horse chestnut (Aesculus hippocastanum)",""
"トチ種子","seed Aesculus??",""
"トチ種実","seed/nuts Aesculus??",""
"トチ種皮","seed coat Aesculus??",""
"トネリコ類","Japanese ash (Fraxinus japonica)​",""
"トリベ付着物","ladle deposits?",""
"ドングリ","oak (Quercus)",""
"ドングリの果皮","pericarp oak (Quercus)",""
"ドングリ木片(Ⅺ層)","wood frag oak (Quercus)",""
"ドングリ果皮","pericarp oak (Quercus)",""
"ドングリ炭化種子","carbonized seed oak (Quercus)",""
"ドングリ種実","seed/nuts oak (Quercus)",""
"ドングリ類種子","seed oak (Quercus)",""
"ナウマン象 骨化石","elephant (Elephantidae spp. Palaeoloxodon?) fossil bone",""
"ナミマガシワ･カガミガイ他","venus clam (Dosinia japonica) jingle shell (Anomia chinensis)",""
"ナラ","oak",""
"ナラガシワ(堅果)","nut Asian white oak (Quercus aliena​)",""
"ナラ類","oaks",""
"ニホンジカ 大腿骨","sika deer (Cervus nippon) femur",""
"ニホンジカまたはニホンイノシシ下顎骨下端部","wild boar (Sus scrofa) sika deer (Cervus nippon) manidble",""
"ニホンジカ上顎骨","sika deer (Cervus nippon) upper jaw",""
"ニホンジカ肩甲骨","sika deer (Cervus nippon) scapula",""
"ニホンジカ角","sika deer (Cervus nippon) antler/horn",""
"ニホンジカ足根骨","sika deer (Cervus nippon) tarsus",""
"ニワトコ種子","seed Elderberry (Sambucus sp.)",""
"ヌルデ","Chinese sumac (Brucea javanica syn. Rhus)​",""
"ネコ脛骨","cat (Felis, Prionailurus) tibia",""
"ネズミ(大腿骨)",,"Needs translation"
"ハイガイ","igai mussel (Mytilus coruscus)​",""
"ハイガイ(H1)","igai mussel (Mytilus coruscus)​",""
"ハイガイ(H2)","igai mussel (Mytilus coruscus)​",""
"ハイガイ(H3)","igai mussel (Mytilus coruscus)​",""
"ハイガイ①","igai mussel (Mytilus coruscus)​",""
"ハイガイ②","igai mussel (Mytilus coruscus)​",""
"ハイガイ③","igai mussel (Mytilus coruscus)​",""
"ハイガイH1","igai mussel (Mytilus coruscus)​",""
"ハイガイH2","igai mussel (Mytilus coruscus)​",""
"ハイガイH3","igai mussel (Mytilus coruscus)​",""
"バカガイ","trough shell (Mactra chinensis)",""
"ハマグリ","asian hard clam (Meretrix lusoria)​",""
"ハマグリ･カキ","oysters (Ostreidae) asian hard clam (Meretrix lusoria)​",""
"ハマグリ右殻","asian hard clam (Meretrix lusoria)​",""
"ハマグリ貝殻","asian hard clam (Meretrix lusoria)​",""
"ハンノキ属","alder (Alnus sp.)​",""
"ハンノキ属幹","alder (Alnus sp.)​",""
"ハンノキ属果序","catkin (inflorescence) alder (Alnus sp.)​",""
"ハンノキ属果鱗","fruit scale alder (Alnus sp.)​",""
"ハンノキ属鱗片","fruit scale alder (Alnus sp.)​",""
"ハンノキ果実 果実鱗片","fruit /achenes etc fruit scale Japanese alder (Alnus japonica) fruit Japanese alder (Alnus japonica)​",""
"ハンノキ果実、イヌシデ果実、アサダ果実","fruit /achenes etc East Asian hornbeam (Ostrya japonica) Chonowski's hornbeam (Carpinus tschonoskii) Japanese alder (Alnus japonica) fruit Japanese alder (Alnus japonica)​",""
"ハンノキ果実鱗片","fruit /achenes etc fruit scale Japanese alder (Alnus japonica) fruit Japanese alder (Alnus japonica)​",""
"ハンノキ類","Japanese alder (Alnus japonica)​",""
"ピート","peat moss",""
"ヒエ","barnyard millet (Echinochloa)",""
"ヒシ","fruit /nuts, water caltrop (Trapa natans var. bispinosa)",""
"ヒシ属果皮","pericarp, water caltrop (Trapa sp.)",""
"ヒシ種子","seed Water caltrop (Trapa natans var. bispinosa)",""
"ヒトの歯","human tooth",""
"ヒトの歯(上顎右第2乳臼歯)","human right upper jaw molar tooth",""
"ヒト下顎骨","human manidble",""
"ヒト右上顎第2大臼歯","human right upper jaw molar tooth",""
"ヒト左下顎第3大臼歯","human left molar tooth",""
"ヒト腓骨","human fibula",""
"ヒト遊離歯","human tooth",""
"ヒト頭蓋骨","human skull",""
"ヒト頭骨側頭骨","human skull temporal bone",""
"ヒメグルミ核","walnut (Juglans sp.) Himegurumi",""
"ひょうたん","bottle gourd (Lagenaria siceraria)",""
"ひょうたんの皮","bottle gourd (Lagenaria siceraria)",""
"ヒョウタン果実","fruit /achenes etc bottle gourd (Lagenaria siceraria)",""
"ヒョウタン種子","seed, bottle gourd (Lagenaria siceraria)",""
"ヒョウタン類(種子)","seed bottle gourd (Lagenaria siceraria)",""
"ヒラメ椎骨","flounders (Pleuronectoidei: mainly Paralichthys sp.) vertebra",""
"ブタ第2後臼歯","pig (Sus scrofa domesticus) molar tooth",""
"ブドウ属種子","seed grapes (Vitaceae)",""
"ブドウ科種子","seed grapes (Vitaceae)",""
"フトコロガイ科フトコロガイ(Euplica versicolor)",,"Needs translation"
"ブナ果実","fruit /achenes etc beech (Fagaceae)",""
"フルボ酸","Fulvic acid",""
"フローテーション採集資料","floated material",""
"ヘビ貝","snake shell? (Serpulorbis imbricatus)?",""
"ボーリングコア","borehole core",""
"ボーリングコアから採取した試料","borehole core sample, soil",""
"ホタテガイ","Japanese scallop (Mizuhopecten (syn. Patinopecten) yessoensis)",""
"ホタルイ属果実","fruit /achenes etc club-rush (Scirpus / Bolboschoenus / Schoenoplectus sp.) bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides)",""
"マイルカ 頭蓋骨","dolphin /toothed whales (odontocetes) skull",""
"マイルカ骨","dolphin /toothed whales (odontocetes)",""
"マガキ","Pacific oyster (Crassostrea gigas)​",""
"マガキ貝殻","Pacific oyster (Crassostrea gigas)​",""
"マグロ属腹椎","tuna (Thunnini)",""
"マクワ･シロウリ型種子","seed melon (Cucumis melo) shirori melon (Cucumis melo var. utilissimus) melon/gourd (Cucurbitaceae)",""
"マコモ層","Manchurian wild rice (Zizania latifolia)​",""
"マダケ属","wood, Japanese timber bamboo (Phyllostachys bambsoides)",""
"マツ属複維管束亜属","wood, pine (Pinus sp.) subgen compound vascular",""
"マツ類","pine (Pinus sp.)",""
"マツ類の毬果","pinecone, pine (Pinus sp.)",""
"マテガイ","Gould's Razor Shell (Solen strictus)",""
"マメもしくはドングリ子葉","cotyledon oak (Quercus) legume (Fabaceae)",""
"マメ類","legume (Fabaceae)",""
"マルスダレガイ科ヌノメガイ(Periglypta puerpera)",,"Needs translation"
"ミカン割材",,"Needs translation"
"ミカン割材（アカガシ亜属材）","material, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"みかん割材外","split wood (outside), wood indet.",""
"ミクリ属果実","fruit /achenes etc chestnut (Castanea crenata)",""
"ムクロジ","soapberry (Sapindaceae)","Multiple translations"
"ムクロジ","seed?, soapberry (Sapindaceae)","Multiple translations"
"もみがら","rice husk (Oryza sativa)",""
"モモ核","peach (Amygdalus persica syn. Prunus)",""
"モモ核(内果実)","fruit /achenes etc peach (Amygdalus persica syn. Prunus)",""
"モモ炭化核破片（1破片）","carbonized fragments, peach (Amygdalus persica syn. Prunus)",""
"モモ種子","seed peach (Amygdalus persica syn. Prunus)",""
"ヤナギ属","willow (Salix sp.)",""
"ヤナギ属幹","willow (Salix sp.)",""
"ヤナギ類","willow (Salix sp.)",""
"ヤベオオツノジカ","Megloceros type deer (Sinomegaceros yabei)",""
"ヤマグワ","Chinese mulberry (Morus australis syn bombycis)",""
"ヤマトシジミ","basket clam (Corbicula japonica) basket clam (Corbiculidae spp.)",""
"ヤマトシジミ貝殻","basket clam (Corbicula japonica) basket clam (Corbiculidae spp.)",""
"ヤマブドウ種子","seed Yama grape (Vitis coignetiae)",""
"ユキガイ貝殻","radiately-ridged trough shell (Meropesta nicobarica)",""
"ユリ科鱗茎","bulb stem fruit scale Liliaceae",""
"ローム試料","sample loam",""
"ワラ片",,"Needs translation"
"ワラ状炭化物","carbonized straw material",""
"三角板状木製品",,"Needs translation"
"上腕骨","human bone",""
"不明","unknown",""
"不明(花粉分析試料)","unknown (pollen sample)",""
"不明植物遺体(数点)","unknown plant plant remains",""
"不明炭化子葉","unknown carbonized cotyledon",""
"不明種子","unknown seed",""
"両端加工材(ヌルデ)","material worked wood Chinese sumac (Brucea javanica syn. Rhus)​",""
"両端加工材(ムラサキシキブ属)","material worked wood beautyberry (Callicarpa sp.)",""
"丸太杭","round wood wooden stake",""
"丸木弓(イヌガヤ)",,"Needs translation"
"丸木材","material wood log/trunk",""
"丸木杭(エゴノキ属)","log/trunk wooden stake wooden stake snowbell tree (Styrax sp.)",""
"丸木杭(クリ)","log/trunk wooden stake wooden stake chestnut (Castanea crenata)",""
"丸木杭(クロモジ属)","log/trunk wooden stake wooden stake spicebush (Lindera umbellata)",""
"丸木杭(チドリノキ)","log/trunk wooden stake wooden stake hornbeam maple (Acer carpinifolium)",""
"丸木杭(ヌルデ)","log/trunk wooden stake wooden stake Chinese sumac (Brucea javanica syn. Rhus)​",""
"丸木杭(モモ)","log/trunk wooden stake wooden stake peach (Amygdalus persica syn. Prunus)",""
"丸木杭(ヤナギ属)","log/trunk wooden stake wooden stake willow (Salix sp.)",""
"丸木舟1号(ヒノキ属)","log/trunk boat /canoe cypress (Chamaecyparis sp.)",""
"丸木舟2号(ヒノキ属)","log/trunk boat /canoe cypress (Chamaecyparis sp.)",""
"丸杭",,"Needs translation"
"丸杭(アカガシ)",,"Needs translation"
"丸杭(ブナ)",,"Needs translation"
"乾燥木材","material wood desiccated",""
"乾燥樹皮","bark desiccated, wood indet.",""
"二枚貝","bi-valve clam",""
"二枚貝(アリソガイ)","bi-valve clam",""
"二枚貝(オオノガイ)","soft shell clam (Mya arenaria syn. oonogai) bi-valve clam",""
"二枚貝(サビシラトリガイ)","bi-valve clam",""
"二枚貝(ヤマトシジミ)","basket clam (Corbicula japonica) bi-valve clam basket clam (Corbiculidae spp.)",""
"井戸枠板材(コウヤマキ)",,"Needs translation"
"亜泥炭","peat, soil",""
"亜炭","Lignite?",""
"亜炭？","Lignite?",""
"人骨","human bone",""
"人骨 四肢骨片","human bone limb bone bone fragment",""
"人骨 大腿骨片","human bone femur bone fragment",""
"人骨 尺骨","human bone ulna",""
"人骨 左上顎切歯歯根部","human bone left upper jaw tooth",""
"人骨 左大腿骨","human bone left femur",""
"人骨 臼歯","human bone molar tooth",""
"人骨 頭骨片","human bone skull bone fragment",""
"人骨 頸骨","human bone cervical vertebra",""
"人骨 骨盤","human bone pelvis",""
"人骨( 第1号人骨）",,"Needs translation"
"人骨(上位左肋骨)",,"Needs translation"
"人骨(下腿骨)","human bone tibia",""
"人骨（下顎歯破片）","human bone tooth",""
"人骨(下顎骨)",,"Needs translation"
"人骨(右上腕骨)",,"Needs translation"
"人骨(右側頭骨)",,"Needs translation"
"人骨(右大腿骨)","human bone right femur",""
"人骨(右第1中足骨)",,"Needs translation"
"人骨(右第2中足骨)",,"Needs translation"
"人骨(右第二中足骨)",,"Needs translation"
"人骨(右腓骨骨体部片)",,"Needs translation"
"人骨（右距骨）","right astragalus, human bone",""
"人骨(右頭頂骨片)",,"Needs translation"
"人骨(四肢骨)","human bone limb bone",""
"人骨(四肢骨片）","human bone limb bone bone fragment",""
"人骨(大腿骨?)",,"Needs translation"
"人骨(大腿骨)","human bone femur",""
"人骨（大腿骨片）","human bone femur bone fragment",""
