Prefecture,SiteName,SiteAddress,SamplingLocation,MaterialType,Period,Phase,PeriodCode,LabCode,Method,CRA,CRAError,UnroundedCRA,UnroundedCRAError,Delta13C,Delta13CError,Delta13CIRMS,AnalysedBy,Laboratory,PubblicationYear,ReportTitle,Page,Remarks,Reference,Publisher,Latitude,Longitude,labcode_issues,c14_issues,ReferenceCombined,ReferenceFinal,coordinate_issues,PrefectureNameEn,Region,Furigana,SiteType,Romanised,Material,Material_Details
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構045SD溝、,"土器付着物,煤,胴上位・外面",弥生時代,山中,C,PLD-8687,AMS法,2040,20,NA,NA,-13.77,0.22,-13.3,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-5,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構111SD溝、dot657,"土器付着物,内面",弥生時代,山中,C,PLD-8688,AMS法,1990,20,NA,NA,-19.1,0.16,-12.2,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-8 a,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構1393SK土坑、dot1090,"土器付着物,煤,底部外面",弥生時代,貝田町2,C,PLD-8689,AMS法,2245,20,NA,NA,-11.67,0.18,-11.8,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-9,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構455ＳＫ土坑、dot843,"土器付着物,煤,胴部下位・外面",弥生時代,山中Ⅱ,C,PLD-8690,AMS法,1970,20,NA,NA,-25.97,0.17,-26,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-12,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構検2覆土、dot148,"土器付着物,煤,胴部中位・外面",弥生時代,山中,C,PLD-8691,AMS法,1960,25,NA,NA,-25.87,0.17,-25.8,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-13,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構108SD溝,"土器付着物,煤,口縁部～胴部上位・外面",弥生時代,貝田町3,C,PLD-8692,AMS法,2230,20,NA,NA,-24.42,0.19,-25.2,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-16,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Cd、遺構SK128土坑、dot148,"土器付着物,煤,胴部破片",弥生時代,高蔵,C,PLD-8693,AMS法,2155,20,NA,NA,-19.26,0.19,-20.1,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-18,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Cd、遺構SD81溝、dot161,"土器付着物,底部下位・外面",弥生時代,高蔵,C,PLD-8694,AMS法,2155,20,NA,NA,-13.09,0.19,-12.6,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-21 b,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Cd、遺構SD02溝、dot16,"土器付着物,煤,底部下位・外面",弥生時代,高蔵,C,PLD-8695,AMS法,2185,20,NA,NA,-17.84,0.19,-17,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-24,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Cc、遺構SD09溝、dot80,"土器付着物,煤,胴部外面破片",弥生時代,貝田町3,C,PLD-8696,AMS法,2155,25,NA,NA,-27.77,0.19,-26.5,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-27,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Cc、遺構SD01溝、dot17,"土器付着物,煤,胴部下位・外面",弥生時代,廻間Ⅰ古,C,PLD-8794,AMS法,1915,20,NA,NA,-16.16,0.26,NA,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-29 (rt),弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Dc、遺構SD03溝、dot14,"土器付着物,煤,胴部下位・外面",弥生時代,貝田町2,C,PLD-8697,AMS法,2285,20,NA,NA,-16.05,0.16,-16.3,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-30 b,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Dc、遺構SD03溝、dot72,"土器付着物,煮焦げ,脚部内面",弥生時代,高蔵,C,PLD-8698,AMS法,2175,20,NA,NA,-26.1,0.18,-26.9,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-31,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
