MaterialTypeUniqueID,Material_Classification,Material_Details_JPN,inconsistent,Materials_Details_EN,Materials_Detail_Identification_EN,Materials_Detail_Other_EN,Materials_Detail_Notes_EN
1077,Charred Remain,木材(クスノキ),1,material wood camphor tree (Cinnamomum camphora),camphor tree (Cinnamomum camphora),material wood,
1100,Charred Remain,木材(コナラ属アカガシ亜属),1,material wood oak (Quercus sp.) Japanese evergreen oak (Quercus acuta),oak (Quercus sp.) Japanese evergreen oak (Quercus acuta),material wood,
1121,Charred Remain,木材(スダジイ),1,material wood Itajii tree (Castanopis sieboldi),Itajii tree (Castanopis sieboldi),material wood,
1193,Charred Remain,木材(ヤブニッケイ),1,material wood Japanese cinnamon (Cinnamomum yabunikkei syn. pedunculatum),Japanese cinnamon (Cinnamomum yabunikkei syn. pedunculatum),material wood,
1236,Charred Remain,木炭,0,charcoal,,charcoal,
1237,Charred Remain,木炭・木片,0,charcoal wood frag,,charcoal wood frag,
1238,Charred Remain,木炭・炭化物,0,charcoal carbonized material,,charcoal carbonized material,
1239,Charred Remain,木炭(アサダ),0,charcoal East Asian hornbeam (Ostrya japonica),East Asian hornbeam (Ostrya japonica),charcoal,
1240,Charred Remain,木炭(アスナロ属),0,charcoal hatchet-leaved arbor-vitae (Thujopsis dolabrata),hatchet-leaved arbor-vitae (Thujopsis dolabrata),charcoal,Is this a wider wood identification group or Thujopsis dolabrata as there is only one species ヒノキ科
1241,Charred Remain,木炭(エノキ属),0,charcoal hackberry (Celtis sp.),hackberry (Celtis sp.),charcoal,Celtis jessoensis/sinensis? Or is there more than two species
1242,Charred Remain,木炭(カバノキ属),0,charcoal birch (Betula sp.),birch (Betula sp.),charcoal,At least three species of birch B. ermanii; B. grossa; B. platyphylla
1243,Charred Remain,木炭(クヌギ節),0,charcoal saw-tooth oak (Quercus acutissima),saw-tooth oak (Quercus acutissima),charcoal,
1244,Charred Remain,木炭(クリ、ハリギリ),0,charcoal chestnut (Castanea crenata) castor aralia (Kalopanax septemlobus),chestnut (Castanea crenata) castor aralia (Kalopanax septemlobus),charcoal,"Kuri, harigiri"
1245,Charred Remain,木炭(クリ),0,charcoal chestnut (Castanea crenata),chestnut (Castanea crenata),charcoal,シイ= chinquapin / Castanopsis
1246,Charred Remain,木炭(クリ属),0,charcoal chestnut (Castanea crenata),chestnut (Castanea crenata),charcoal,
1247,Charred Remain,木炭(コナラ亜属クヌギ節),0,charcoal saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata),saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata),charcoal,I am unsure with these whether it is Quercus or Quercus serrata
1248,Charred Remain,木炭(コナラ亜属コナラ節),0,charcoal Jolcham oak (Quercus serrata),Jolcham oak (Quercus serrata),charcoal,
1249,Charred Remain,木炭（コナラ亜属コナラ節）,0,charcoal Jolcham oak (Quercus serrata),Jolcham oak (Quercus serrata),charcoal,
1250,Charred Remain,木炭(コナラ属?）,0,charcoal oak (Quercus sp.),oak (Quercus sp.),charcoal,
1251,Charred Remain,木炭(コナラ属クヌギ節),0,charcoal oak (Quercus sp.) saw-tooth oak (Quercus acutissima),oak (Quercus sp.) saw-tooth oak (Quercus acutissima),charcoal,
1252,Charred Remain,木炭(コナラ属コナラ亜属クヌギ節),0,charcoal oak (Quercus sp.) saw-tooth oak (Quercus acutissima),oak (Quercus sp.) saw-tooth oak (Quercus acutissima),charcoal,
1253,Charred Remain,木炭(コナラ属コナラ亜属コナラ節),0,charcoal oak (Quercus sp.) Jolcham oak (Quercus serrata),oak (Quercus sp.) Jolcham oak (Quercus serrata),charcoal,
1254,Charred Remain,木炭(シキミ),0,charcoal Japanese star anise (Illicum religiosum),Japanese star anise (Illicum religiosum),charcoal,
1255,Charred Remain,木炭(ススキ属･タケ亜科),0,charcoal silvergrass (Miscanthus sp.) bamboo (Bambusoideae),silvergrass (Miscanthus sp.) bamboo (Bambusoideae),charcoal,
1256,Charred Remain,木炭（トネリコ属）,0,charcoal Ash (Fraxinus sp.),Ash (Fraxinus sp.),charcoal,
1257,Charred Remain,木炭(トネリコ属シオジ節),0,charcoal Ash (Fraxinus sp.) Ash (Fraxinus platypoda),Ash (Fraxinus sp.) Ash (Fraxinus platypoda),charcoal,
1258,Charred Remain,木炭(バラ科ナシ亜科),0,charcoal Rosaceae Pear (Pyrus)=Maleae subfamily,Rosaceae Pear (Pyrus)=Maleae subfamily,charcoal,
1259,Charred Remain,木炭(ハリギリ),0,charcoal castor aralia (Kalopanax septemlobus),castor aralia (Kalopanax septemlobus),charcoal,
1260,Charred Remain,木炭(ヒノキ属),0,charcoal cypress (Chamaecyparis sp.),cypress (Chamaecyparis sp.),charcoal,
1261,Charred Remain,木炭(ブナ属),0,charcoal beech (Fagus sp.),beech (Fagus sp.),charcoal,
1262,Charred Remain,木炭(モクレン属、クリ属),0,charcoal chestnut (Castanea crenata) magnolia (Magnolia sp.),chestnut (Castanea crenata) magnolia (Magnolia sp.),charcoal,
1263,Charred Remain,木炭(モクレン属),0,charcoal magnolia (Magnolia sp.),magnolia (Magnolia sp.),charcoal,
1264,Charred Remain,木炭（土器内部の土から検出）,0,charcoal inside pottery,,charcoal from pottery,
1266,Charred Remain,木炭（炭化材）,0,charcoal carbonized material,,charcoal carbonized material,
1267,Charred Remain,"木炭(針葉樹, ツガまたはモミ)",0,charcoal Coniferae tsuga (Tsuga sieboldii) fir (Abies sp.),Coniferae tsuga (Tsuga sieboldii) fir (Abies sp.),charcoal,
1268,Charred Remain,木炭片,0,charcoal charred pieces,,charcoal charred pieces,
1269,Charred Remain,木炭粒,0,charcoal grain,,charcoal grain,
1287,Charred Remain,木片(クスノキ),1,wood frag camphor tree (Cinnamomum camphora),camphor tree (Cinnamomum camphora),wood frag,
1322,Charred Remain,木片(ヒノキ属類似）,0,wood frag cypress (Chamaecyparis sp.),cypress (Chamaecyparis sp.),wood frag,
1439,Charred Remain,植物片(炭化物),0,carbonized plant fragments material,,carbonized plant fragments material,
1581,Charred Remain,炭,1,charcoal,,,
1582,Charred Remain,炭(№19),0,charcoal,,,
1583,Charred Remain,炭(エノキ属),0,hackberry (Celtis sp.),hackberry (Celtis sp.),,
1584,Charred Remain,炭(コナラ属コナラ亜属クヌギ節),0,oak (Quercus sp.) saw-tooth oak (Quercus acutissima),oak (Quercus sp.) saw-tooth oak (Quercus acutissima),,
1595,Charred Remain,炭化クルミ材,0,carbonized material walnut (Juglans),walnut (Juglans),carbonized material,
1599,Charred Remain,炭化したスダレ状植物製品,0,carbonized plant,,carbonized plant,? Bamboo like
1604,Charred Remain,炭化丸木材(クヌギ・コナラ),0,carbonized material wood log/trunk saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata),saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata),carbonized material wood log/trunk,
1612,Charred Remain,炭化小枝,0,carbonized twig branch,,carbonized twig branch,
1613,Charred Remain,炭化広葉樹樹皮,0,carbonized bark hardwood,,carbonized bark hardwood,
1614,Charred Remain,炭化建材？,0,carbonized material,,carbonized material,
1615,Charred Remain,炭化建材（消失材）,0,carbonized material,,carbonized material,
1616,Charred Remain,炭化木,0,Carbonized wood,,carbonized,
1617,Charred Remain,炭化木(ブナ？),0,carbonized beech (Fagaceae),beech (Fagaceae),carbonized,
1618,Charred Remain,炭化木(マツ),0,carbonized pine (Pinus sp.),pine (Pinus sp.),carbonized,
1619,Charred Remain,炭化木片,0,carbonized wood frag,,carbonized wood frag,
1620,Charred Remain,炭化木片（カラマツ属）,0,carbonized wood frag larch (Larix sp.),larch (Larix sp.),carbonized wood frag,
1621,Charred Remain,炭化木片など,0,carbonized wood frag,,carbonized wood frag,
1622,Charred Remain,炭化木細粒,0,carbonized grain,,carbonized grain,
1623,Charred Remain,炭化材,0,carbonized material,,carbonized material,
1624,Charred Remain,炭化材 (コナラ属コナラ亜属クヌギ節),0,carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima),oak (Quercus sp.) saw-tooth oak (Quercus acutissima),carbonized material,
1625,Charred Remain,炭化材 (スギ),0,carbonized material Japanese cedar (Cryptomeria japonica),Japanese cedar (Cryptomeria japonica),carbonized material,
1626,Charred Remain,炭化材 (ツブラジイ),0,carbonized material Japanese Chinquapin (Castanopsis cuspidata),Japanese Chinquapin (Castanopsis cuspidata),carbonized material,
1627,Charred Remain,炭化材 (ミズキ),0,carbonized material dogwood (Cornus controversa),dogwood (Cornus controversa),carbonized material,
1628,Charred Remain,炭化材 コナラ亜属コナラ節 エゴノキ属,0,carbonized material Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.),Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.),carbonized material,
1629,Charred Remain,炭化材 スノコ状？,0,carbonized material,,carbonized material,not found? Snowbell
1630,Charred Remain,炭化材 土器内面付着,0,carbonized material from pottery interior residue,,carbonized material from pottery interior residue,Adhesion on the inner surface of earthenware
1631,Charred Remain,炭化材 土留め板？,0,carbonized material plank,,carbonized material plank,Earth bench? Plaque
1632,Charred Remain,炭化材 樹皮,0,carbonized material bark,,carbonized material bark,
1634,Charred Remain,"炭化材,",0,carbonized material,,carbonized material,
1635,Charred Remain,"炭化材,アカガシ亜種,",0,carbonized material Japanese evergreen oak (Quercus acuta),Japanese evergreen oak (Quercus acuta),carbonized material,
1636,Charred Remain,"炭化材,カエデ属,",0,carbonized material maple (Acer sp.),maple (Acer sp.),carbonized material,
1637,Charred Remain,"炭化材,クヌギ属?,",0,carbonized material saw-tooth oak (Quercus acutissima),saw-tooth oak (Quercus acutissima),carbonized material,
1638,Charred Remain,"炭化材,クヌギ節,",0,carbonized material saw-tooth oak (Quercus acutissima),saw-tooth oak (Quercus acutissima),carbonized material,
1639,Charred Remain,"炭化材,クリ,",0,carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material,
1640,Charred Remain,"炭化材,クリ,11年目",0,carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material,
1641,Charred Remain,"炭化材,クリ,21年目",0,carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material,
1642,Charred Remain,"炭化材,クリ,31年目",0,carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material,
1643,Charred Remain,"炭化材,クリ,最外",0,carbonized material outermost chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material outermost,
1644,Charred Remain,"炭化材,クリ?,",0,carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material,
1645,Charred Remain,"炭化材,クリ?,部位不明",0,unknown carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),unknown carbonized material,
1646,Charred Remain,"炭化材,コナラ属,",0,carbonized material oak (Quercus sp.),oak (Quercus sp.),carbonized material,
1647,Charred Remain,"炭化材,コナラ属コナラ亜属コナラ節,",0,carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata),oak (Quercus sp.) Jolcham oak (Quercus serrata),carbonized material,
1648,Charred Remain,"炭化材,タケ亜科,",0,carbonized material bamboo (Bambusoideae),bamboo (Bambusoideae),carbonized material,
