Period,PeriodEN
弥生時代前期〜中期初頭,NA
弥生時代前期〜中期前葉,NA
弥生時代前期〜古代,NA
弥生時代前期～中期,NA
弥生時代前期かそれ以降,NA
弥生時代前期中ごろ,NA
弥生時代前期中頃,NA
弥生時代前期中頃～後半,NA
弥生時代前期初頭,NA
弥生時代前期前葉～中頃,NA
弥生時代前期後半,NA
弥生時代前期後半〜中期中葉,NA
弥生時代前期後半〜中期前半,NA
弥生時代前期後半～末,NA
弥生時代前期後葉,NA
弥生時代前期後葉〜中期前葉,NA
弥生時代前期末,NA
弥生時代前期末〜中期,NA
弥生時代前期末〜古墳時代,NA
弥生時代前期末～中期初,NA
弥生時代後半〜古墳時代前期,NA
弥生時代後半期,NA
弥生時代後期,Late Yayoi Period
弥生時代後期〜古墳時代,NA
弥生時代後期〜古墳時代初め,NA
弥生時代後期〜古墳時代初頭,NA
弥生時代後期〜古墳時代前期,NA
弥生時代後期〜古墳時代前期頃,NA
弥生時代後期〜奈良時代,NA
弥生時代後期〜平安時代,NA
弥生時代後期〜終末,NA
弥生時代後期〜終末期,NA
弥生時代後期?,NA
弥生時代後期？,NA
弥生時代後期～古墳時代,NA
弥生時代後期～古墳時代前期,NA
弥生時代後期～古墳時代相当,NA
弥生時代後期から古墳時代前期,NA
弥生時代後期中葉,NA
弥生時代後期中葉〜後葉,NA
弥生時代後期以前,NA
弥生時代後期以降,NA
弥生時代後期初頭,NA
弥生時代後期初頭および終末期,NA
弥生時代後期前半,NA
弥生時代後期前葉,NA
弥生時代後期後半,NA
弥生時代後期後半〜古墳時代中期,NA
弥生時代後期後半〜末葉,NA
弥生時代後期後半〜終末期,NA
弥生時代後期後半〜終末期以降,NA
弥生時代後期後葉,NA
弥生時代後期末,NA
弥生時代後期末〜古墳時代,NA
弥生時代後期末〜古墳時代前期,NA
弥生時代後期末から古墳時代初頭,NA
弥生時代後期末後葉,NA
弥生時代後期終末,NA
弥生時代後期終末〜古墳時代前半,NA
弥生時代後期頃,NA
弥生時代採集末,NA
弥生時代早期,NA
弥生時代早期〜前期,NA
弥生時代早期？,NA
弥生時代早期前半,NA
弥生時代早期後半,NA
弥生時代末,NA
弥生時代末〜古墳時代,NA
弥生時代末〜古墳時代初め,NA
弥生時代末〜古墳時代初頭,NA
弥生時代末〜古墳時代初頭以前,NA
弥生時代末〜古墳時代前半,NA
弥生時代末〜古墳時代前期,NA
弥生時代末から古墳時代初頭頃,NA
弥生時代末以降古墳時代後期までの間,NA
弥生時代末期〜古墳時代初頭,NA
弥生時代末期〜古墳時代前期,NA
弥生時代末葉頃,NA
弥生時代末頃,NA
弥生時代終末,NA
弥生時代終末〜古墳時代,NA
弥生時代終末〜古墳時代初頭,NA
弥生時代終末〜古墳時代前期,NA
弥生時代終末以前？,NA
弥生時代終末以前か？,NA
弥生時代終末期,NA
弥生時代終末期〜古墳時代,NA
弥生時代終末期〜古墳時代前期,NA
弥生時代終末期以前,NA
弥生時代頃?,NA
後期旧石器時代,NA
後期旧石器時代〜縄文時代,NA
後期旧石器時代〜縄文時代草創期,NA
後期旧石器時代初頭,NA
後期旧石器時代初頭〜末期,NA
後期旧石器時代前半,NA
後期旧石器時代前半期,NA
後期旧石器時代後半,NA
後期旧石器時代後半〜縄文時代早期,NA
後期旧石器時代末〜縄文時代,NA
後期更新世,NA
慶長15年(1610年頃),NA
戦国時代,NA
戦国時代〜江戸時代,NA
擦文時代中期,NA
擦文時代前期,NA
擦文時代前期～中期,NA
擦文時代後期,NA
擦文時代早期,NA
擦文時代晩期,NA
新寛永以降,NA
旧石器時代,NA
旧石器時代〜中世,NA
旧石器時代〜中世並行期,NA
旧石器時代〜弥生時代中期,NA
旧石器時代〜縄文時代,NA
旧石器時代〜縄文時代草創期,NA
旧石器時代以降,NA
旧石器時代終末〜縄文時代草創期初頭,NA
明治以降,NA
明治時代,NA
明治時代以前,NA
更新世?,NA
歴史時代,NA
江戸時代,NA
江戸時代〜明治時代,NA
江戸時代?古代?,NA
江戸時代以前,NA
江戸時代以降,NA
江戸時代前期〜大正時代,NA
江戸時代前期〜明治時代,NA
江戸時代前期以前,NA
江戸時代前期末〜中期初,NA
江戸時代後期,NA
江戸時代後期〜明治時代初期,NA
江戸時代後期〜明治期,NA
現代,NA
白頭山火山灰降下以前に廃絶,NA
白頭山火山灰降下以降,NA
白頭山火山灰降下後,NA
白頭山火山灰降下直前に廃絶,NA
白鳳時代,NA
真間期,NA
続縄文,NA
続縄文時代,NA
続縄文時代？,NA
縄文〜古代,NA
縄文･中世,NA
縄文中期〜後期主体,NA
縄文中期後葉,NA
縄文後、晩期以降〜弥生中期,NA
縄文時代,NA
縄文時代〜中世,NA
縄文時代〜古代,NA
縄文時代〜古墳時代,NA
縄文時代〜古墳時代前期,NA
縄文時代〜弥生時代,NA
縄文時代〜鎌倉時代,NA
縄文時代?,NA
縄文時代(中期?),NA
縄文時代もしくは10世紀以降,NA
縄文時代中〜晩期,NA
縄文時代中後期,NA
縄文時代中期,NA
縄文時代中期　,NA
縄文時代中期 初頭,NA
縄文時代中期〜後期,NA
縄文時代中期〜晩期,NA
縄文時代中期？,NA
縄文時代中期or晩期,NA
縄文時代中期および後期,NA
縄文時代中期中葉,NA
縄文時代中期中葉〜中葉末,NA
縄文時代中期中葉〜後期初頭,NA
縄文時代中期中葉〜後期前葉,NA
縄文時代中期中葉〜後葉,NA
縄文時代中期中葉〜後葉頃,NA
縄文時代中期中葉〜晩期初頭,NA
縄文時代中期中葉〜末葉,NA
縄文時代中期中葉?,NA
縄文時代中期中葉以前,NA
縄文時代中期中葉以降,NA
縄文時代中期中葉以降?,NA
縄文時代中期中頃から後期前半,NA
縄文時代中期以前,NA
縄文時代中期以後,NA
縄文時代中期以降,NA
縄文時代中期初頭,NA
縄文時代中期初頭〜中期中葉,NA
縄文時代中期初頭〜中期後葉,NA
縄文時代中期初頭〜後期,NA
縄文時代中期初頭から中葉,NA
縄文時代中期初頭頃,NA
縄文時代中期前〜中葉,NA
縄文時代中期前半,NA
縄文時代中期前半以降,NA
縄文時代中期前葉,NA
縄文時代中期前葉〜中期後葉,NA
縄文時代中期前葉〜中葉,NA
縄文時代中期前葉以降,NA
縄文時代中期前葉前半,NA
縄文時代中期前葉末,NA
縄文時代中期後〜末葉,NA
縄文時代中期後半,NA
縄文時代中期後半〜後期初頭,NA
縄文時代中期後半〜末,NA
縄文時代中期後半〜末葉,NA
縄文時代中期後半前葉,NA
縄文時代中期後葉,NA
縄文時代中期後葉〜後期初頭,NA
縄文時代中期後葉〜後期前葉,NA
縄文時代中期後葉〜末葉,NA
縄文時代中期後葉以前,NA
縄文時代中期後葉以降,NA
縄文時代中期後葉初頭,NA
縄文時代中期後葉末〜後期前葉,NA
縄文時代中期末,NA
縄文時代中期末〜後期,NA
縄文時代中期末〜後期初頭,NA
縄文時代中期末〜後期前葉,NA
縄文時代中期末〜晩期初頭,NA
縄文時代中期末〜晩期前半,NA
縄文時代中期末？,NA
縄文時代中期末から晩期初頭,NA
縄文時代中期末葉,NA
縄文時代中期末葉〜後期,NA
縄文時代中期末葉〜後期初頭,NA
縄文時代中期末葉〜後期前半より新しい,NA
縄文時代中期末葉〜後期前葉,NA
縄文時代中期末葉〜後期前葉以前,NA
縄文時代中期末葉･後期後葉〜晩期前葉,NA
縄文時代中期末葉以前,NA
縄文時代中期末葉以降,NA
縄文時代中期末葉頃,NA
縄文時代中期頃?,NA
縄文時代以前,NA
縄文時代以降,NA
縄文時代初頭,NA
縄文時代前〜中期,NA
縄文時代前期,NA
縄文時代前期　,NA
縄文時代前期〜中期,NA
縄文時代前期〜中期?,NA
縄文時代前期〜古墳時代,NA
縄文時代前期〜弥生,NA
縄文時代前期〜後期,NA
縄文時代前期〜晩期,NA
縄文時代前期?,NA
縄文時代前期～中期,NA
縄文時代前期～中期？,NA
縄文時代前期or晩期,NA
縄文時代前期上限,NA
縄文時代前期中葉,NA
縄文時代前期中葉〜中期初頭,NA
縄文時代前期中葉〜後葉,NA
縄文時代前期中葉〜末葉,NA
縄文時代前期中葉から中期前半,NA
縄文時代前期中葉以前,NA
縄文時代前期中頃,NA
縄文時代前期中頃〜中期以前,NA
縄文時代前期以前,NA
縄文時代前期以降,NA
縄文時代前期初頭,NA
縄文時代前期初頭〜中葉,NA
縄文時代前期初頭〜前葉,NA
縄文時代前期初頭?,NA
縄文時代前期初頭以前,NA
縄文時代前期初頭以後,NA
縄文時代前期前半,NA
縄文時代前期前半〜中葉,NA
縄文時代前期前半〜後期中葉,NA
縄文時代前期前半頃,NA
縄文時代前期前葉,NA
縄文時代前期前葉〜中期初頭,NA
縄文時代前期前葉〜中葉,NA
縄文時代前期及び後期,NA
縄文時代前期後〜末葉,NA
縄文時代前期後半,NA
縄文時代前期後半〜中世まで存在,NA
縄文時代前期後半〜中期初頭,NA
縄文時代前期後半〜後期前半,NA
縄文時代前期後半〜末,NA
縄文時代前期後葉,NA
縄文時代前期後葉〜中期初頭,NA
縄文時代前期後葉〜末葉,NA
縄文時代前期後葉以降,NA
縄文時代前期末,NA
縄文時代前期末〜中期中葉,NA
縄文時代前期末〜中期初頭,NA
縄文時代前期末〜中期前半,NA
縄文時代前期末〜中期前葉,NA
縄文時代前期末〜中期末,NA
縄文時代前期末〜後期,NA
縄文時代前期末葉,NA
縄文時代前期末葉〜中期中葉,NA
縄文時代前期末葉〜中期初頭,NA
縄文時代前期末葉〜中期前葉,NA
縄文時代前期末葉〜後期初頭,NA
縄文時代前期末葉?,NA
縄文時代前期末葉以前,NA
縄文時代前期末頃,NA
縄文時代前期関山式期,NA
縄文時代堀之内期,NA
縄文時代後晩期,NA
縄文時代後晩期?,NA
縄文時代後期,NA
縄文時代後期〜前期,NA
縄文時代後期〜古墳時代,NA
縄文時代後期〜弥生時代中期,NA
縄文時代後期〜弥生時代後期,NA
縄文時代後期〜晩期,NA
縄文時代後期〜晩期?,NA
縄文時代後期〜晩期にはすでに埋没,NA
縄文時代後期〜晩期初頭,NA
縄文時代後期〜晩期前葉,NA
縄文時代後期・晩期,NA
縄文時代後期･晩期,NA
縄文時代後期?,NA
縄文時代後期？,NA
縄文時代後期～晩期,NA
縄文時代後期から晩期,NA
縄文時代後期ないし晩期,NA
縄文時代後期中葉,NA
縄文時代後期中葉〜後葉,NA
縄文時代後期中葉〜晩期初頭,NA
縄文時代後期中葉〜晩期後半,NA
縄文時代後期中頃,NA
縄文時代後期以前,NA
縄文時代後期以降,NA
縄文時代後期最終末,NA
縄文時代後期初頭,NA
縄文時代後期初頭〜前様,NA
縄文時代後期初頭〜前葉,NA
縄文時代後期初頭〜前葉前半,NA
縄文時代後期初頭〜晩期前葉,NA
縄文時代後期初頭?,NA
縄文時代後期初頭から中葉,NA
縄文時代後期初頭の貝層にきられる,NA
縄文時代後期前半,NA
縄文時代後期前様,NA
縄文時代後期前様以後,NA
縄文時代後期前葉,NA
縄文時代後期前葉〜中葉,NA
縄文時代後期前葉〜後葉,NA
縄文時代後期前葉〜晩期前葉,NA
縄文時代後期前葉かそれ以降,NA
縄文時代後期後半,NA
縄文時代後期後半〜晩期,NA
縄文時代後期後半〜晩期前葉,NA
縄文時代後期後半?,NA
縄文時代後期後半初め,NA
縄文時代後期後葉,NA
縄文時代後期後葉〜晩期,NA
縄文時代後期後葉〜晩期中葉,NA
縄文時代後期後葉〜晩期初頭,NA
縄文時代後期後葉〜晩期前葉,NA
縄文時代後期後葉〜末葉,NA
縄文時代後期後葉から晩期初頭,NA
縄文時代後期後葉以降,NA
縄文時代後期晩期,NA
縄文時代後期末,NA
縄文時代後期末〜弥生時代,NA
縄文時代後期末〜晩期中葉,NA
縄文時代後期末〜晩期初頭,NA
縄文時代後期末?,NA
縄文時代後期末～晩期初,NA
縄文時代後期末以前,NA
縄文時代後期末葉,NA
縄文時代後期末葉〜晩期初頭,NA
縄文時代後期末葉以前,NA
縄文時代後期末頃,NA
縄文時代後期終末,NA
縄文時代後期頃,NA
縄文時代早創期,NA
縄文時代早創期〜前期,NA
縄文時代早期,NA
縄文時代早期〜中世並行期,NA
縄文時代早期〜前期,NA
縄文時代早期〜前期初頭,NA
縄文時代早期〜古代,NA
縄文時代早期〜後期,NA
縄文時代早期･前期,NA
縄文時代早期?,NA
縄文時代早期中葉,NA
縄文時代早期中葉〜前期,NA
縄文時代早期中葉〜後葉,NA
縄文時代早期中葉〜後葉前半,NA
縄文時代早期中葉〜早期末･前期初頭,NA
縄文時代早期以前,NA
縄文時代早期以降,NA
縄文時代早期以降?,NA
縄文時代早期初頭,NA
縄文時代早期初頭または草創期後葉,NA
縄文時代早期初頭頃,NA
縄文時代早期前半,NA
縄文時代早期前葉,NA
縄文時代早期前葉〜中葉,NA
縄文時代早期後半,NA
縄文時代早期後半〜前期,NA
縄文時代早期後半〜前期初頭,NA
縄文時代早期後半〜前期前半,NA
縄文時代早期後半〜末,NA
縄文時代早期後半から前期中葉,NA
縄文時代早期後半以前,NA
縄文時代早期後半頃,NA
縄文時代早期後葉,NA
縄文時代早期後葉〜前期初頭,NA
縄文時代早期後葉〜末葉,NA
縄文時代早期末,NA
縄文時代早期末〜中期後葉,NA
縄文時代早期末〜前期,NA
縄文時代早期末〜前期最初期,NA
縄文時代早期末〜前期初頭,NA
縄文時代早期末〜前期前葉,NA
縄文時代早期末葉,NA
縄文時代早期末葉〜前期,NA
縄文時代早期終末,NA
縄文時代早期頃,NA
縄文時代晩期,NA
縄文時代晩期〜古代,NA
縄文時代晩期〜古墳時代前期,NA
縄文時代晩期〜古墳時代後期,NA
縄文時代晩期〜弥生時代,NA
縄文時代晩期〜弥生時代中期,NA
縄文時代晩期〜弥生時代初頭,NA
縄文時代晩期〜弥生時代前期,NA
縄文時代晩期〜弥生時代後期,NA
縄文時代晩期?,NA
縄文時代晩期～弥生時代前期,NA
縄文時代晩期～弥生時代早期,NA
縄文時代晩期～続縄文時代,NA
縄文時代晩期か平安時代,NA
縄文時代晩期中〜後葉,NA
縄文時代晩期中葉,NA
縄文時代晩期中葉〜後葉,NA
縄文時代晩期中葉以降,NA
縄文時代晩期中葉前半,NA
縄文時代晩期中葉末〜後葉,NA
縄文時代晩期中葉頃?,NA
縄文時代晩期以前,NA
縄文時代晩期以降,NA
縄文時代晩期最終末〜弥生時代中期,NA
縄文時代晩期最終末期,NA
縄文時代晩期初頭,NA
縄文時代晩期初頭〜中葉,NA
縄文時代晩期初頭〜前様,NA
縄文時代晩期初頭〜前葉,NA
縄文時代晩期前〜中葉,NA
縄文時代晩期前半,NA
縄文時代晩期前半頃,NA
縄文時代晩期前葉,NA
縄文時代晩期前葉〜中期,NA
縄文時代晩期前葉〜中葉,NA
縄文時代晩期前葉〜末葉,NA
縄文時代晩期前葉前半〜後半,NA
縄文時代晩期前葉後半,NA
縄文時代晩期前葉後半〜中葉前半,NA
縄文時代晩期後〜末葉,NA
縄文時代晩期後半,NA
縄文時代晩期後半〜弥生時代前期,NA
縄文時代晩期後半〜弥生時代前期前半,NA
縄文時代晩期後半?,NA
縄文時代晩期後半以前,NA
縄文時代晩期後葉,NA
縄文時代晩期後葉〜弥生時代中期,NA
縄文時代晩期後葉〜弥生時代中期前半,NA
縄文時代晩期後葉〜弥生時代前期,NA
縄文時代晩期後葉〜末葉,NA
縄文時代晩期末,NA
縄文時代晩期末〜弥生時代中期初め,NA
縄文時代晩期末〜弥生時代前期,NA
縄文時代晩期末以降,NA
縄文時代晩期末葉,NA
縄文時代晩期末葉〜弥生時代初期,NA
縄文時代晩期終末,NA
縄文時代晩期終末〜弥生時代中期初頭,NA
縄文時代晩期終末〜弥生時代中期頃,NA
縄文時代晩期頃〜弥生時代,NA
縄文時代末,NA
縄文時代末〜弥生時代,NA
縄文時代末期〜弥生時代初期,NA
縄文時代終末〜弥生時代前期,NA
縄文時代草創期,NA
縄文時代草創期〜早期?,NA
縄文時代草創期or後晩期,NA
縄文時代草創期あるいは早期,NA
縄文時代草創期および前期前半,NA
縄文時代草創期以前,NA
縄文時代草創期後半,NA
縄文時代草創期後葉,NA
縄文時代草創期後葉?,NA
縄文時代草創期末〜早期初頭,NA
縄文時代草創期終末,NA
縄文時代遺物包含層,NA
肘折浮石層中,NA
要確認,NA
貝塚時代後期,NA
近世,NA
近世〜明治,NA
近世〜近代,NA
近世〜近現代,NA
近世･近代,NA
近世?,NA
近世or近代,NA
近世アイヌ,NA
近世以前,NA
近世以降,NA
近世初頭,NA
近世前半,NA
近代,NA
近代〜現代,NA
近代以前,NA
近代以降,NA
近現代,NA
近現代以降,NA
鎌倉時代,NA
鎌倉時代〜室町時代,NA
鎌倉時代〜室町時代前半,NA
鎌倉時代Ⅲa〜Ⅳ期,NA
鎌倉時代中頃,NA
鎌倉時代以降,NA
鎌倉時代初期,NA
鎌倉時代前半,NA
鎌倉時代後半,NA
鎌倉時代後半〜室町時代初頭,NA
鎌倉時代後半〜江戸時代初頭,NA
鎌倉時代末〜室町時代初期,NA
飛鳥･奈良時代,NA
飛鳥時代,NA
飛鳥時代〜奈良時代,NA
飛鳥時代〜平安時代,NA
飛鳥時代･奈良時代,NA
飛鳥時代後半〜奈良時代前半,NA
飛鳥時代末〜奈良時代,NA
飛鳥時代末〜平安時代初頭,NA
飛鳥時代末〜平安時代前期前半,NA
NA,NA
